segment_id,n_raw,n_kept
mahatma-gandhi-marg_5873630_0,95,8
cariappa-marg_22834653_0,0,0
cariappa-marg_22834653_1,0,0
cariappa-marg_22834653_2,0,0
nh48_22897615_0,22,2
sabz-burj-circle_24563333_0,89,8
delhi-gurugram-expressway_24973559_0,93,8
delhi-gurugram-expressway_24973559_1,100,8
mahatma-gandhi-marg_25457965_0,100,8
mahatma-gandhi-marg_25524672_0,78,8
nh248bb_25524703_0,0,0
nelson-mandela-marg_25744612_0,0,0
delhi-gurugram-expressway_25878331_0,81,6
mehrauli-badarpur-road_26664726_0,0,0
nelson-mandela-marg_27422282_0,0,0
mahatma-gandhi-marg_28412393_0,0,0
mahatma-gandhi-marg_28412396_0,92,8
mahatma-gandhi-marg_28412397_0,0,0
mahatma-gandhi-marg_28412404_0,100,8
delhi-gurugram-expressway_28616600_0,100,8
delhi-gurugram-expressway_28616600_1,76,8
delhi-gurugram-expressway_28616601_0,100,8
delhi-gurugram-expressway_28616601_1,99,8
delhi-gurugram-expressway_28616604_0,95,8
delhi-gurugram-expressway_28616605_0,100,8
delhi-gurugram-expressway_28616606_0,0,0
nh48_28746242_0,18,2
mahatma-gandhi-marg_28746244_0,0,0
mahatma-gandhi-marg_28746244_1,94,8
mahatma-gandhi-marg_28746245_0,0,0
mahatma-gandhi-marg_28773614_0,0,0
mahatma-gandhi-marg_28773614_1,0,0
cariappa-marg_28773628_0,0,0
aurobindo-marg_29534879_0,0,0
aurobindo-marg_29534879_1,0,0
delhi-gurugram-expressway_31097489_0,97,8
delhi-gurugram-expressway_31097490_0,100,8
unnamed_31097494_0,0,0
ulan-batar-road_31097497_0,100,8
dwarka-expressway_31806390_0,56,8
dwarka-expressway_31806390_1,0,0
nh48_34404760_0,0,0
nh48_34404760_1,20,2
nh248bb_35307401_0,0,0
nh248bb_35307401_1,0,0
nh248bb_35307401_2,4,1
nh248bb_35307537_0,90,8
najafgarh-daurala-road_35310545_0,0,0
najafgarh-daurala-road_35310545_1,0,0
najafgarh-daurala-road_35310545_2,0,0
najafgarh-daurala-road_35310545_3,0,0
najafgarh-daurala-road_35310545_4,0,0
najafgarh-daurala-road_35310545_5,0,0
najafgarh-daurala-road_35310545_6,0,0
najafgarh-daurala-road_35310545_7,0,0
najafgarh-daurala-road_35310545_8,0,0
najafgarh-daurala-road_35310545_9,0,0
unnamed_35310546_0,0,0
unnamed_35310547_0,0,0
unnamed_35310548_0,0,0
unnamed_35310940_0,0,0
nangloi-road_35310941_0,0,0
najafgarh-nangloi-road_35310943_0,0,0
najafgarh-nangloi-road_35310943_1,0,0
najafgarh-nangloi-road_35311044_0,0,0
najafgarh-nangloi-road_35311044_1,0,0
najafgarh-nangloi-road_35311044_2,0,0
najafgarh-nangloi-road_35311045_0,0,0
najafgarh-nangloi-road_35311164_0,0,0
najafgarh-nangloi-road_35311164_1,0,0
nangloi-road_35311167_0,0,0
rd-no-224_35823388_0,84,8
dabri-dwarka-road_35823389_0,76,8
dabri-dwarka-road_35823389_1,0,0
bikaji-cama-place-flyover_36326998_0,96,8
mahatma-gandhi-marg_36326999_0,92,8
nelson-mandela-marg_37751252_0,0,0
nelson-mandela-marg_37751252_1,0,0
mahatma-gandhi-marg_37751254_0,100,8
mahatma-gandhi-marg_37751255_0,93,8
mahatma-gandhi-marg_38699434_0,88,8
mathura-road_39013511_0,88,8
ashram-railway-flyover_39013518_0,96,8
ashram-railway-flyover_39013520_0,100,8
ashram-railway-flyover_39013521_0,86,8
ashram-flyover_39013522_0,0,0
mahatma-gandhi-marg_39013523_0,39,2
ashram-flyover_39013524_0,100,8
mahatma-gandhi-marg_39013525_0,100,8
delhi-dehradun-expressway_40102594_0,0,0
mahipalpur-flyover_40138011_0,72,8
mahipalpur-flyover_40138011_1,100,8
acharya-shri-tulsi-marg_42944885_0,0,0
acharya-shri-tulsi-marg_42944885_1,0,0
mahatma-gandhi-marg_43359324_0,0,0
raj-nagar-flyover_44315437_0,0,0
raj-nagar-flyover_44315438_0,0,0
aiims-flyover_44315450_0,0,0
mahatma-gandhi-marg_44315451_0,0,0
aiims-flyover_44315456_0,0,0
moolchand-underpass_44316338_0,100,8
moolchand-underpass_44316339_0,100,8
south-extension-flyover_44316345_0,0,0
mahatma-gandhi-marg_44316346_0,100,8
ashram-railway-flyover_44317039_0,95,8
moti-bagh-flyover_44317158_0,0,0
moti-bagh-flyover_44317159_0,0,0
mehrauli-badarpur-road_45734464_0,0,0
mehrauli-badarpur-road_45734464_1,0,0
mehrauli-badarpur-road_45734465_0,0,0
mehrauli-badarpur-road_45734465_1,86,8
rd-no-224_47290483_0,99,8
dwarka-palam-road_47290485_0,0,0
dwarka-flyover_47290486_0,100,8
dwarka-flyover_47290489_0,34,1
dwarka-flyover_47290489_1,95,8
dwarka-palam-road_47290491_0,0,0
dwarka-palam-road_47290491_1,0,0
dwarka-palam-road_47290494_0,0,0
dwarka-palam-road_47290494_1,0,0
yakshini-chowk-underpass_47290501_0,2,2
dwarka-flyover_59035939_0,72,8
auchandi-border-road_60882614_0,0,0
bawana-road_60882632_0,0,0
nityanand-marg_70214078_0,100,8
nityanand-marg_70214098_0,0,0
mahatma-gandhi-marg_70214104_0,100,8
mahatma-gandhi-marg_70220642_0,0,0
mahatma-gandhi-marg_70220642_1,0,0
vikas-marg_70220643_0,0,0
ito-flyover_70220645_0,78,5
ito-flyover_70220647_0,78,4
ring-road_70220650_0,78,7
ito-flyover_70220654_0,78,3
vikas-marg_70255387_0,0,0
vikas-marg_70255388_0,78,3
vikas-marg_70255391_0,60,2
vikas-marg_70255398_0,0,0
vikas-marg_70255407_0,0,0
mahatma-gandhi-marg_70258948_0,0,0
mahatma-gandhi-marg_70258948_1,0,0
mahatma-gandhi-marg_70258948_2,0,0
mahatma-gandhi-marg_70258954_0,0,0
mahatma-gandhi-marg_70258955_0,0,0
nizamuddin-road-flyover_70258957_0,0,0
mahatma-gandhi-marg_70258960_0,0,0
mahatma-gandhi-marg_70258963_0,0,0
mahatma-gandhi-marg_70258965_0,0,0
nizamuddin-railway-station-flyover_70258966_0,0,0
dnd-flyway_71435185_0,0,0
dadri-road_71605351_0,0,0
dadri-road_71605370_0,0,0
dadri-road_71605465_0,0,0
delhi-meerut-expressway_72002966_0,100,8
delhi-meerut-expressway_72002968_0,0,0
delhi-meerut-expressway_72002996_0,0,0
swami-dayanand-marg_76702389_0,0,0
national-highway-24-bypass-flyover_76702787_0,100,8
road-number-57_76727403_0,0,0
road-number-57_76727472_0,0,0
road-number-57_76727604_0,0,0
karkari-mor-flyover_76733233_0,0,0
karkari-mor-flyover_76733238_0,0,0
road-number-57_76733280_0,0,0
road-number-57_76733280_1,0,0
road-number-57_76733280_2,0,0
karkari-mor-flyover_76733286_0,0,0
akshardham-flyover_76834865_0,0,0
delhi-meerut-expressway_76834866_0,0,0
noida-link-road_76834869_0,0,0
dadri-road_76834871_0,0,0
delhi-meerut-expressway_76834872_0,0,0
delhi-meerut-expressway_76834878_0,0,0
delhi-meerut-expressway_76834883_0,0,0
delhi-meerut-expressway_76834884_0,0,0
delhi-meerut-expressway_76834886_0,0,0
delhi-meerut-expressway_76834891_0,0,0
delhi-meerut-expressway_76834893_0,0,0
nh24-bypass_76834894_0,0,0
delhi-meerut-expressway_76834898_0,0,0
flyover_76834899_0,0,0
flyover_76834904_0,0,0
delhi-meerut-expressway_76834905_0,0,0
akshardham-flyover_76834906_0,0,0
delhi-meerut-expressway_76834907_0,0,0
delhi-meerut-expressway_76834908_0,0,0
delhi-meerut-expressway_76834909_0,0,0
delhi-meerut-expressway_76842646_0,0,0
delhi-meerut-expressway_76842647_0,0,0
delhi-meerut-expressway_76842648_0,0,0
delhi-meerut-expressway_76842649_0,0,0
swami-dayanand-marg_76849181_0,0,0
dnd-flyway_76849195_0,0,0
swami-dayanand-marg_76849232_0,0,0
swami-dayanand-marg_76849269_0,0,0
dnd-flyway_76849306_0,0,0
swami-dayanand-marg_76849332_0,0,0
dnd-flyway_76849415_0,0,0
delhi-meerut-expressway_76849496_0,0,0
unnamed_77004692_0,0,0
unnamed_77004708_0,0,0
jangpura-road-flyover_77015779_0,87,8
jangpura-road-flyover_77015802_0,100,8
jangpura-road-flyover_77015815_0,98,8
jangpura-road-flyover_77015834_0,100,8
mathura-road_77339655_0,100,8
mathura-road_77339656_0,72,7
mathura-road_77339657_0,76,8
mathura-road_77339658_0,67,8
jangpura-road-flyover_77349457_0,80,8
mahatma-gandhi-marg_77349469_0,0,0
modi-mill-flyover_77349473_0,0,0
jangpura-road-flyover_77349475_0,91,8
mahatma-gandhi-marg_77349483_0,0,0
outer-ring-road_77349484_0,87,7
mathura-road_77349488_0,97,8
mahatma-gandhi-marg_77349489_0,0,0
mahatma-gandhi-marg_77349510_0,0,0
jangpura-road-flyover_77349531_0,100,8
outer-ring-road_77355797_0,100,8
kalkaji-flyover_77355798_0,95,8
kalkaji-flyover_77355803_0,100,8
unnamed_77363921_0,100,8
khelgaon-flyover_77363924_0,99,8
outer-ring-road_77363925_0,0,0
iit-flyover_77363928_0,99,8
ho-chi-minh-marg_77363931_0,0,0
chirag-delhi-flyover_77363934_0,15,4
rao-tula-ram-marg_77363936_0,0,0
rao-tula-ram-marg_77363936_1,0,0
nehru-place-flyover_77363937_0,2,0
yakshini-chowk-underpass_77363938_0,0,0
nehru-place-flyover_77363939_0,0,0
ho-chi-minh-marg_77363941_0,0,0
chirag-delhi-flyover_77363942_0,15,3
ho-chi-minh-marg_77363948_0,0,0
unnamed_77363957_0,100,8
savitri-flyover_77363963_0,0,0
yakshini-chowk-underpass_77363979_0,2,0
aurobindo-marg_77363987_0,91,8
unnamed_77363988_0,97,8
nehru-place-flyover_77363989_0,0,0
yakshini-chowk-underpass_77363992_0,0,0
iit-flyover_77363994_0,64,8
unnamed_77363998_0,100,8
ulan-batar-road_77364007_0,100,8
rao-tula-ram-marg_77364013_0,17,2
rao-tula-ram-marg_77364013_1,0,0
khelgaon-flyover_77364016_0,81,7
khelgaon-flyover_77364024_0,0,0
unnamed_77364025_0,85,6
khelgaon-flyover_77364029_0,87,8
ring-road_77617172_0,80,5
ring-road_77617172_1,80,5
unnamed_77617192_0,0,0
mahatma-gandhi-marg_77617232_0,100,8
azadpur-flyover_77629868_0,0,0
azadpur-flyover_77629874_0,0,0
mahatma-gandhi-marg_77629878_0,0,0
mahatma-gandhi-marg_77629881_0,0,0
doctor-kb-hedgewar-marg_77629882_0,0,0
mall-road_77629887_0,0,0
arihant-marg_77629890_0,0,0
arihant-marg_77629890_1,0,0
mahatma-gandhi-road_77629892_0,0,0
mahatma-gandhi-marg_77629895_0,0,0
shalimar-bagh-flyover_77629896_0,0,0
shalimar-bagh-flyover_77629896_1,0,0
mahatma-gandhi-road_77629899_0,0,0
mahatma-gandhi-marg_77629903_0,0,0
grand-trunk-road_77629904_0,0,0
grand-trunk-road_77629904_1,0,0
mahatma-gandhi-road_77629911_0,0,0
outer-ring-road_77629920_0,0,0
outer-ring-road_77629923_0,0,0
mahatma-gandhi-road_77629925_0,0,0
nh44_77629927_0,0,0
azadpur-flyover_77629928_0,0,0
mahatma-gandhi-marg_77629932_0,0,0
nh44_77629936_0,0,0
mahatma-gandhi-marg_77629937_0,0,0
outer-ring-road_77629941_0,0,0
mahatma-gandhi-marg_77629944_0,0,0
mahatma-gandhi-marg_77629944_1,0,0
shaheed-captain-vikram-batra-flyover_77629945_0,0,0
shaheed-captain-vikram-batra-flyover_77629947_0,0,0
mahatma-gandhi-marg_77629953_0,0,0
shaheed-captain-vikram-batra-flyover_77629955_0,0,0
unnamed_77643337_0,0,0
outer-ring-road_77643342_0,0,0
outer-ring-road_77643345_0,0,0
outer-ring-road-underpass_77643355_0,0,0
outer-ring-road_77643370_0,0,0
outer-ring-road_77643373_0,0,0
outer-ring-road_77643373_1,0,0
outer-ring-road_77643373_2,0,0
outer-ring-road_77643376_0,0,0
unnamed_77643378_0,0,0
outer-ring-road_77643380_0,0,0
outer-ring-road_77643383_0,0,0
panjabi-bagh-underpass_77643393_0,0,0
outer-ring-road_77643397_0,0,0
outer-ring-road_77643397_1,0,0
outer-ring-road_77643397_2,0,0
outer-ring-road_77643398_0,0,0
outer-ring-road_77643398_1,0,0
mangolpuri-flyover_77643404_0,0,0
outer-ring-road_77643410_0,0,0
outer-ring-road_77643412_0,0,0
outer-ring-road_77643416_0,0,0
bhera-enclave-underpass_77643417_0,0,0
mangolpuri-flyover_77643424_0,0,0
outer-ring-road_77643425_0,0,0
outer-ring-road_77643427_0,0,0
outer-ring-road-underpass_77643433_0,0,0
outer-ring-road_77643435_0,0,0
outer-ring-road_77643440_0,0,0
outer-ring-road_77643442_0,0,0
bhera-enclave-underpass_77643444_0,0,0
outer-ring-road_77643448_0,0,0
outer-ring-road_77643452_0,0,0
outer-ring-road_77643454_0,0,0
outer-ring-road_77643459_0,0,0
unnamed_77643474_0,0,0
shivaji-marg_77645945_0,0,0
prembari-underpass_77743784_0,0,0
prembari-underpass_77743787_0,0,0
mahatma-gandhi-road_77743792_0,0,0
mahatma-gandhi-road_77743815_0,0,0
prembari-underpass_77743820_0,0,0
prembari-underpass_77743823_0,0,0
prembari-underpass_77743854_0,0,0
prembari-underpass_77743867_0,0,0
punjabi-bagh-chowk_77766225_0,0,0
shri-hans-maharaj-flyover_77766227_0,0,0
shri-hans-maharaj-flyover_77766230_0,0,0
ring-road_77766231_0,0,0
panjabi-bagh-underpass_77766233_0,0,0
mahatma-gandhi-road_77766235_0,0,0
mahatma-gandhi-road_77766235_1,0,0
ch-brahm-prakash-flyover_77766236_0,0,0
ch-brahm-prakash-flyover_77766237_0,0,0
ring-road_77766238_0,0,0
panjabi-bagh-underpass_77766240_0,0,0
rohtak-road_77766241_0,0,0
shri-hans-maharaj-flyover_77766247_0,0,0
mahatma-gandhi-road_77766249_0,0,0
rohtak-road_77766250_0,0,0
shri-hans-maharaj-flyover_77766251_0,0,0
mahatma-gandhi-road_77766252_0,0,0
rohtak-road_77766255_0,0,0
rohtak-road_77766255_1,0,0
shri-hans-maharaj-flyover_77766256_0,0,0
rohtak-road_77766259_0,0,0
rohtak-road_77766259_1,0,0
rohtak-road_77766259_2,0,0
rohtak-road_77766259_3,0,0
mahatma-gandhi-road_77766264_0,0,0
mahatma-gandhi-road_77766268_0,0,0
rohtak-road_77769941_0,0,0
zakhira-flyover_77769955_0,0,0
rohtak-road_77769985_0,0,0
rohtak-road_77769991_0,0,0
new-rohtak-road_77769996_0,0,0
zakhira-flyover_77770030_0,0,0
zakhira-flyover_77770030_1,0,0
rohtak-road_77770032_0,0,0
zakhira-flyover_77770036_0,0,0
zakhira-flyover_77770036_1,0,0
unnamed_77860386_0,0,0
unnamed_77860387_0,0,0
mahatma-gandhi-marg_77860389_0,0,0
unnamed_77860394_0,0,0
raja-garden-flyover_77860395_0,80,8
club-road-flyover_77860396_0,0,0
raja-garden-flyover_77860398_0,100,8
club-road-flyover_77860399_0,0,0
moti-nagar-flyover_77860401_0,0,0
club-road-flyover_77860402_0,0,0
mahatma-gandhi-marg_77860407_0,95,8
mahatma-gandhi-road_77860408_0,0,0
mahatma-gandhi-marg_77860409_0,0,0
club-road-flyover_77860412_0,0,0
mahatma-gandhi-road_77860419_0,0,0
mahatma-gandhi-marg-bridge_77862360_0,25,8
mahatma-gandhi-marg-bridge_77862374_0,74,8
mahatma-gandhi-marg_77862377_0,0,0
naraina-flyover_77862381_0,96,8
naraina-flyover_77862381_1,55,8
naraina-flyover_77862391_0,25,5
mahatma-gandhi-marg_77862392_0,90,8
mahatma-gandhi-marg_77862398_0,100,8
naraina-flyover_77862399_0,97,8
mahatma-gandhi-marg-bridge_77862400_0,21,3
mahatma-gandhi-marg_77862405_0,67,8
mahatma-gandhi-marg-bridge_77862409_0,15,1
mahatma-gandhi-marg_77862411_0,99,8
mahatma-gandhi-marg_77868599_0,0,0
unnamed_77868648_0,0,0
mahatma-gandhi-marg_77881950_0,0,0
mahatma-gandhi-marg_77882055_0,0,0
mahatma-gandhi-marg_77882055_1,0,0
new-rohtak-road_77885887_0,0,0
new-rohtak-road_77885887_1,0,0
rohtak-road_77888924_0,0,0
rohtak-road_77888924_1,0,0
rohtak-road_77888924_2,0,0
rohtak-road_77888936_0,0,0
rohtak-road_77888936_1,0,0
rohtak-road_77888936_2,0,0
rohtak-road_77888936_3,0,0
doctor-kb-hedgewar-marg_77891225_0,0,0
arihant-marg_77891251_0,0,0
doctor-kb-hedgewar-marg_77891255_0,0,0
doctor-kb-hedgewar-marg_77891272_0,0,0
doctor-kb-hedgewar-marg_77891272_1,0,0
doctor-kb-hedgewar-marg_77891272_2,0,0
mahatma-gandhi-road_78168081_0,0,0
azadpur-flyover_78168082_0,0,0
grand-trunk-road_78331464_0,0,0
grand-trunk-road_78331469_0,0,0
grand-trunk-road_78331471_0,0,0
grand-trunk-road_78331476_0,0,0
grand-trunk-road_78331478_0,0,0
grand-trunk-road_78331491_0,0,0
grand-trunk-road_78331491_1,0,0
grand-trunk-road_78331498_0,0,0
grand-trunk-road_78331501_0,0,0
unnamed_78484387_0,0,0
unnamed_78484396_0,0,0
doctor-kailash-nath-katju-marg_78484433_0,0,0
unnamed_78484467_0,0,0
arihant-marg_78785336_0,0,0
arihant-marg_78785551_0,0,0
arihant-marg_78785610_0,0,0
arihant-marg_78786221_0,0,0
modi-mill-flyover_80511831_0,0,0
aurobindo-marg_80515440_0,0,0
aurobindo-marg_80515444_0,0,0
dabri-gurgaon-road_80678894_0,0,0
dadri-road_81058750_0,0,0
dadri-road_81058750_1,0,0
vikas-marg_81061267_0,0,0
vikas-marg_81061268_0,0,0
vikas-marg_81061277_0,0,0
vikas-marg_81061296_0,0,0
vikas-marg_81061296_1,0,0
bikaji-cama-place-flyover_81387670_0,99,8
unnamed_103170712_0,0,0
bawana-road_111287133_0,0,0
bawana-road_111287133_1,0,0
okhla-estate-marg-flyover_116046171_0,0,0
okhla-estate-marg-flyover_116046174_0,0,0
mayur-vihar-flyover_121067085_0,0,0
dadri-road_121067086_0,0,0
mayur-vihar-flyover_121067087_0,0,0
unnamed_121067090_0,0,0
unnamed_121067090_1,0,0
sachivalaya-road-flyover_125736541_0,0,0
sachivalaya-road-flyover_125736542_0,0,0
sachivalaya-road-flyover_125736543_0,0,0
sachivalaya-road-flyover_125736544_0,78,3
acharya-shri-tulsi-marg_135465291_0,0,0
aurobindo-marg_150401885_0,86,8
dabri-palam-road_154180965_0,0,0
dabri-palam-road_154180965_1,0,0
dabri-palam-road_154180973_0,0,0
dabri-palam-road_154180973_1,49,8
pankha-road-flyover_164461742_0,0,0
mehrauli-badarpur-road_168923897_0,0,0
mehrauli-badarpur-road_168923897_1,87,8
mehrauli-badarpur-road_168923897_2,93,8
mehrauli-badarpur-road_168923899_0,94,8
mehrauli-badarpur-road_168923899_1,0,0
mehrauli-badarpur-road_168923899_2,0,0
mahipalpur-flyover_169324593_0,100,8
sh18_169365628_0,0,0
mathura-road_170455027_0,62,8
unnamed_170455123_0,87,8
mathura-road_170455156_0,98,8
unnamed_170455186_0,84,8
unnamed_170455193_0,93,8
mathura-road_170455204_0,100,8
unnamed_170455224_0,92,8
mehrauli-badarpur-road_170460549_0,0,0
mehrauli-badarpur-road_170460552_0,65,6
mehrauli-badarpur-road_170460552_1,51,5
mehrauli-badarpur-road_170460553_0,8,2
baba-banda-singh-bahadur-setu_170767283_0,89,8
baba-banda-singh-bahadur-setu_170767283_1,86,8
baba-banda-singh-bahadur-setu_170767283_2,83,8
baba-banda-singh-bahadur-setu_170767284_0,66,8
baba-banda-singh-bahadur-setu_170767284_1,95,8
baba-banda-singh-bahadur-setu_170767284_2,98,8
baba-banda-singh-bahadur-setu_170767284_3,100,8
barapullah-road_170767285_0,0,0
mahatma-gandhi-marg_170767287_0,0,0
delhi-meerut-expressway_170938115_0,0,0
delhi-meerut-expressway_170938116_0,0,0
delhi-meerut-expressway_170938117_0,0,0
rohtak-road_171505928_0,0,0
rohtak-road_171505928_1,0,0
rohtak-road_171505929_0,0,0
rohtak-road_171505929_1,0,0
rohtak-road_171505929_2,0,0
rohtak-road_171505929_3,0,0
rohtak-road_171505929_4,0,0
rohtak-road_171505929_5,0,0
rohtak-road_171505930_0,0,0
rohtak-road_171505931_0,0,0
nangloi-flyover_171505932_0,0,0
nangloi-flyover_171505933_0,0,0
rohtak-road_171505934_0,0,0
rohtak-road_171505935_0,0,0
mahatma-gandhi-marg_171539220_0,0,0
mahatma-gandhi-marg_171539228_0,0,0
mahatma-gandhi-marg_171539228_1,0,0
bawana-road_171708712_0,0,0
bawana-road_171708713_0,0,0
unnamed_171719018_0,0,0
unnamed_171719018_1,0,0
bawana-road_171719022_0,0,0
bawana-road_171719029_0,0,0
bawana-road_171719029_1,0,0
unnamed_171719031_0,0,0
delhi-road_171719072_0,0,0
unnamed_171719098_0,0,0
bawana-road_171719144_0,0,0
nh344p_171719154_0,0,0
nh344p_171719155_0,0,0
unnamed_171719166_0,0,0
unnamed_171719171_0,0,0
mathura-road_172701715_0,0,0
mathura-road_172701715_1,31,4
unnamed_172701717_0,28,8
unnamed_173946378_0,0,0
delhi-dehradun-expressway_175769881_0,0,0
delhi-dehradun-expressway_175769881_1,0,0
delhi-dehradun-expressway_175769882_0,0,0
delhi-dehradun-expressway_175769882_1,0,0
delhi-dehradun-expressway_175769883_0,0,0
delhi-dehradun-expressway_175769884_0,0,0
delhi-dehradun-expressway_175769885_0,0,0
delhi-dehradun-expressway_175769886_0,0,0
delhi-dehradun-expressway_175769887_0,0,0
delhi-dehradun-expressway_175769888_0,0,0
ring-road_175769901_0,0,0
ring-road_175769901_1,0,0
vikas-marg_175769958_0,0,0
unnamed_175774708_0,0,0
unnamed_175774713_0,0,0
shahdara-flyover_175774714_0,0,0
shahdara-flyover_175774717_0,0,0
